Count,Proportion,Percentile,Model
901,10.6,90,ENV_EST90
911,10.72,90,ENV_EST90
912,10.73,90,ENV_EST90
965,11.35,90,ENV_EST90
886,10.42,90,ENV_EST90
584,6.87,90,ENVSP_EST90
603,7.09,90,ENVSP_EST90
604,7.11,90,ENVSP_EST90
642,7.55,90,ENVSP_EST90
640,7.53,90,ENVSP_EST90
89,1.05,90,ENV_IMP90
81,0.95,90,ENV_IMP90
174,2.05,90,ENV_IMP90
178,2.09,90,ENV_IMP90
34,0.4,90,ENV_IMP90
9,0.11,90,ENVSP_IMP90
10,0.12,90,ENVSP_IMP90
31,0.36,90,ENVSP_IMP90
11,0.13,90,ENVSP_IMP90
52,0.61,90,ENVSP_IMP90
1818,21.39,80,ENV_EST80
1754,20.64,80,ENV_EST80
1829,21.52,80,ENV_EST80
1820,21.41,80,ENV_EST80
1695,19.94,80,ENV_EST80
1261,14.84,80,ENVSP_EST80
1256,14.78,80,ENVSP_EST80
1277,15.02,80,ENVSP_EST80
1291,15.19,80,ENVSP_EST80
1320,15.53,80,ENVSP_EST80
931,10.95,80,ENV_IMP80
819,9.64,80,ENV_IMP80
803,9.45,80,ENV_IMP80
756,8.89,80,ENV_IMP80
439,5.16,80,ENV_IMP80
376,4.42,80,ENVSP_IMP80
211,2.48,80,ENVSP_IMP80
246,2.89,80,ENVSP_IMP80
265,3.12,80,ENVSP_IMP80
426,5.01,80,ENVSP_IMP80
2779,32.69,70,ENV_EST70
2662,31.32,70,ENV_EST70
2769,32.58,70,ENV_EST70
2727,32.08,70,ENV_EST70
2634,30.99,70,ENV_EST70
2073,24.39,70,ENVSP_EST70
2101,24.72,70,ENVSP_EST70
2137,25.14,70,ENVSP_EST70
2074,24.4,70,ENVSP_EST70
2144,25.22,70,ENVSP_EST70
2253,26.51,70,ENV_IMP70
2197,25.85,70,ENV_IMP70
2106,24.78,70,ENV_IMP70
2076,24.42,70,ENV_IMP70
2023,23.8,70,ENV_IMP70
1413,16.62,70,ENVSP_IMP70
1036,12.19,70,ENVSP_IMP70
1000,11.76,70,ENVSP_IMP70
986,11.6,70,ENVSP_IMP70
1574,18.52,70,ENVSP_IMP70
3636,42.78,60,ENV_EST60
3620,42.59,60,ENV_EST60
3679,43.28,60,ENV_EST60
3640,42.82,60,ENV_EST60
3561,41.89,60,ENV_EST60
3453,40.62,60,ENVSP_EST60
3452,40.61,60,ENVSP_EST60
3514,41.34,60,ENVSP_EST60
3521,41.42,60,ENVSP_EST60
3538,41.62,60,ENVSP_EST60
3758,44.21,60,ENV_IMP60
3601,42.36,60,ENV_IMP60
3773,44.39,60,ENV_IMP60
3843,45.21,60,ENV_IMP60
3775,44.41,60,ENV_IMP60
3650,42.94,60,ENVSP_IMP60
3750,44.12,60,ENVSP_IMP60
3951,46.48,60,ENVSP_IMP60
3621,42.6,60,ENVSP_IMP60
3720,43.76,60,ENVSP_IMP60
